Serial Number ID,Book State 0 Count,Book State 1 Count,Book State 2 Count,Total Rows
001d75b331ccaf3d,105,1,1,107
008354c87b40f469,0,0,1,1
01d63c3491ffb93a,0,0,1,1
0230138a60ea32e9,105,1,1,107
0237600511afcdd8,105,1,1,107
02cd96704aca97d8,105,1,1,107
0575a7cff6e20dff,115,1,1,117
06655dad0362eba3,0,0,1,1
074c4d865ee97c61,115,1,1,117
0a306b1ab00b9744,63,1,1,65
0b667d6365754b7a,0,0,1,1
0bb64fff921756f2,0,0,1,1
0bea2ed49dda8559,63,1,1,65
10843cf95d9b1ef7,105,1,1,107
109ce3ecbf83c61d,105,1,1,107
10f51649e3ffa926,0,0,1,1
11c1001b3572c4b3,0,0,1,1
11f9ff5e1da1bcb0,105,1,1,107
1235a705221f821e,115,1,1,117
148dfe09b26cb180,0,0,1,1
15139380504822d0,105,1,1,107
15d2fdd6909feaca,105,1,1,107
180abec4f55f09fc,105,1,1,107
18e75f1a4a22d9f0,105,1,1,107
192d2fd77940f1fb,0,0,1,1
1a47430eb05c7721,0,0,1,1
1a7ea6adb0601e2c,0,0,1,1
1fe375265845b486,115,1,1,117
213ffcbdef218acf,0,0,1,1
214d58714a76ec5b,0,0,1,1
21e51c5dc8136854,0,0,1,1
22485fc02e2bb798,0,955,1,956
23bd0039098e3ef4,0,0,1,1
254d807cf3d1596d,0,0,1,1
288fbda5db09352a,73,1,1,75
291b1f0902f7e976,0,0,1,1
2b2934979d14e3c4,115,1,1,117
2cf23908edc54345,105,1,1,107
2d1c4e14af39a2a5,115,1,1,117
2d9f0348cdb4c847,0,0,1,1
2e0883f3b6160ec5,105,1,1,107
2e326951955882b4,105,1,1,107
2e5a4945ef56f0ff,0,0,1,1
2ed72909d0eed8a5,105,1,1,107
2ef3dfc9b00acabf,0,0,1,1
2f4712e0ea9a15d0,0,0,1,1
3010944f45245043,115,1,1,117
303a03a06d7f12cd,115,1,1,117
310e0ee92b10feb2,0,0,1,1
31346b7c86d9cb2a,0,0,1,1
33aa908e2d4499a5,0,0,1,1
33c481086e5b7307,115,1,1,117
359c2e2b99ae2557,105,1,1,107
3665ad75aa9d9b3a,63,1,1,65
36b6d529b9650b6d,0,0,1,1
37839435fbdc4256,105,1,1,107
37a90b48c22f4d59,0,0,1,1
39d77c90e2469371,105,1,1,107
3a6f42930c223fd6,105,1,1,107
3db73780a60d0b0d,0,0,1,1
3e6317727fc0caf4,0,0,1,1
409fc1aa4b32c02e,0,0,1,1
413f1f976895e93e,0,0,1,1
4244e83d68afcc54,0,955,1,956
4326768e54876569,105,1,1,107
450baf8bfefd32d5,0,0,1,1
45993720d02174b4,115,1,1,117
4676e6cf3a90e009,0,0,1,1
4a8ce150ca1d0c78,0,0,1,1
4c2abb2e5fcff4bc,0,0,1,1
4ea4eecac774b806,105,1,1,107
4ffeedc28f405708,0,0,1,1
50034b91f938f1e7,0,0,1,1
52fdc5e48837425e,105,1,1,107
58be42979a3cad91,0,0,1,1
58c39a1523433b6a,105,1,1,107
58c3f22460cc9b33,0,0,1,1
59a811aaa99f4948,0,0,1,1
5a36583c877346e9,105,1,1,107
5b0b0003a005f4eb,115,1,1,117
5c25f3e76810fdc9,0,0,1,1
5d9488e6a0045a48,115,1,1,117
5dc999aebc49f355,105,1,1,107
5ed625d4b0e0e3f8,0,0,1,1
5f990307a4cab830,0,0,1,1
6014b18cb680df3f,105,1,1,107
601c96dac2dd3034,0,0,1,1
606a8906915b3ca0,0,0,1,1
63a2b1af8d253fdf,0,0,1,1
6423303f9d9c9a50,115,1,1,117
689e73e6bfb5897e,0,0,1,1
68cbc05dc1f352f2,0,0,1,1
6a7ae2b08c6be0bd,0,0,1,1
6a95163df32e26e3,73,1,1,75
6cfb03efac6260c4,105,1,1,107
6d1d3944b7cb57d7,0,0,1,1
6e0820005f274b84,0,0,1,1
6e3ce7161e0185d0,0,0,1,1
6f2a68fc292c759b,105,1,1,107
6f40093ca1ae09b5,0,0,1,1
6fdb51f660f27562,105,1,1,107
70c5e99c576fa17b,0,0,1,1
71564c81e941efcb,0,0,1,1
7237974e074f69de,105,1,1,107
72a8d8d9f5025122,0,0,1,1
72e9baf9cfbe27dd,0,0,1,1
7355172d10b417ad,105,1,1,107
740109fa0cf8f84e,0,0,1,1
74b7d337a61a20cb,105,1,1,107
78a01e0be592341c,0,0,1,1
796528b3f32d90bd,115,1,1,117
7a10e0be8c09c401,63,1,1,65
7b45dea487e8ec54,0,0,1,1
7bd8b2015f02a251,0,1910,1,1911
8071284cfbac1867,0,0,1,1
816a1793bfb597ba,0,0,1,1
81c67e6d1ef6fecb,63,1,1,65
82d1b95de312b76d,0,0,1,1
8360d4a1e7fe5cef,0,0,1,1
8705632b7d4607fe,0,0,1,1
8796d3cf1b0abc85,0,0,1,1
88f0274e8d070a50,115,1,1,117
89eee6d645083b18,105,1,1,107
8ddbfb08a86122fa,105,1,1,107
8e11d842434f0c4c,115,1,1,117
8ee2ef2f99cb850b,0,0,1,1
92a97c9543789ea6,0,0,1,1
935f4bcf94696d8c,0,0,1,1
938d4958dc1c8e28,0,0,1,1
94bad28b8ab12568,0,0,1,1
97855413c709dded,0,0,1,1
97afdae20a5127f1,0,0,1,1
97c63907bb4686b9,0,0,1,1
99e1fdd4cadcc7ab,0,0,1,1
9ac93a6b29cd5b1e,0,0,1,1
9cbd6c8bb04d6523,0,0,1,1
9cd84c9ce851eb3a,0,0,1,1
9ce6e87f822cf692,0,0,1,1
9df965a851e32122,63,1,1,65
9e5540156b972905,0,0,1,1
9f2a46f7c0dfcb73,0,0,1,1
9fe6357d318582a7,63,1,1,65
a008835527b716cd,115,1,1,117
a0bfa4f04a092259,0,0,1,1
a0d73116823dffc2,105,1,1,107
a356cc25e4481e92,105,1,1,107
a670027466d2ca26,105,1,1,107
a9880bdd6566f01e,115,1,1,117
ab32e7a87a219f48,115,1,1,117
ac317c3e9b1ee319,0,0,1,1
adb0bb55db6ff3a6,0,0,1,1
ae1ce38b93b7bcbc,0,0,1,1
ae2189ba91f77821,0,0,1,1
ae58aa56beed2754,115,1,1,117
af093cde1cdafc0c,115,1,1,117
