Metric,Value
Total rows,5108820
Train rows,4597090 (89.98%)
Test rows,511730 (10.02%)
Original time range,"(Timestamp('2025-04-23 00:00:00.499000+0000', tz='UTC'), Timestamp('2025-04-29 15:26:24.884000+0000', tz='UTC'))"
Train time range,"(Timestamp('2025-04-23 00:00:00.499000+0000', tz='UTC'), Timestamp('2025-04-29 10:43:12.795000+0000', tz='UTC'))"
Test time range,"(Timestamp('2025-04-27 21:31:50.556000+0000', tz='UTC'), Timestamp('2025-04-29 15:26:24.884000+0000', tz='UTC'))"
Class 0 count (original),5108321
Class 0 cutoff,2025-04-27 21:31:50.556000+00:00
Class 0 count (train),4596640
Class 0 count (test),511681
Class 0 dist (orig/train/test),0.9999/0.9999/0.9999
Class 1 count (original),382
Class 1 cutoff,2025-04-29 05:16:16.614000+00:00
Class 1 count (train),344
Class 1 count (test),38
Class 1 dist (orig/train/test),0.0001/0.0001/0.0001
Class 2 count (original),117
Class 2 cutoff,2025-04-29 10:58:01.337000+00:00
Class 2 count (train),106
Class 2 count (test),11
Class 2 dist (orig/train/test),0.0/0.0/0.0


--- SAMPLE ROWS ---
serial_number,booking_id,book_state,workstep_number_mes,sequence_number,created_at,updated_at,book_stamp,serial_number_id,lot_id,lot_number,station_id,station_diag_id,workorder_id,panel_position_number,workorder_type,station_number,station_desc,station_diag_number,station_diag_desc,workorder_number,workorder_desc,object_id,product_variant_id,workplan_id,part_number,part_desc,part_group,has_failures,erp_group_id,workstep_number_alt,workstep_number_erp,workstep_desc,workstep_id,erp_group_desc,line_id,line_desc,plant_desc,recipe_revision_id,measure_step_number,measure_value,measure_fail_code,catalog_id,product_id,teststep_id,measurement_name,measurement_unit,measurement_type,lower_limit,upper_limit,__dataset__
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,426.0,69.2531,0.0,71b179406c4af19d,5c1d46132cc79287,d08f1b60bd2d91d4,fc5c2b632a193f27,pF,N,0,700,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,137.0,9.99802,0.0,d84aeed2518c9b69,5c1d46132cc79287,53e0e4e5349f4799,2fce6e0ea1cf3d5d,KOhm,N,9.7,10.3,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,918.0,53.3305,0.0,3c1014adcd5b7d92,5c1d46132cc79287,490a06205b88c4d8,41df6cd5e1c10e6c,mV,N,0,200,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,950.0,747.648,0.0,dcc88401cda86e74,5c1d46132cc79287,f392d6f7d80cfe33,cc0336ea49a75e78,mV,N,490,910,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,162.0,0.99661,0.0,afb30126800ac07b,5c1d46132cc79287,0d303366695afae2,56ae54081d3ec7f0,O,N,0,10,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,707.0,813.349,0.0,5e3c54391062d91d,5c1d46132cc79287,a06561c9435ad27a,44bf42b16866924a, ,N,490,910,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,665.0,718.145,0.0,57b8d59897cb792d,5c1d46132cc79287,75aa89f0c175c9be,5663db0925b24c46,mV,N,560,840,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,168.0,52.029,0.0,c54652dae92ecce8,5c1d46132cc79287,33e41a6ab4816b0d,7b129c48f2117251,O,N,45.99,56.21,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,632.0,100,0.0,0b7183057bb3f305,5c1d46132cc79287,03bd8f894c6dd94d,5a1d8c83d98d6f00,V,N,0.45,100,original
5e9cafafcdf811a0,6405163ce94214a5,0,2,1,2025-04-23 00:15:22.200000+00:00,2025-04-23 00:15:22.248000+00:00,2025-04-23 00:15:22.248000+00:00,ac275801b9e8b716,f8b7cb98aa487468,,38b291acfbf0c17e,04e5bdddafb0fed4,b20effca14a46551,c81e728d9d4c2f63,800618943025315f,685d6f29c663df5e,station d680659329f1a0e5,,,16e36549597324d1,workorder ed42db1df9b61d01,5c1d46132cc79287,9acf7cc65828fe16,99076f817e665df9,5a6867de4757c26d,part 880411f146685a11,8db45195e82aa5e9,False,36a6dcf293f22691,c4ca4238a0b92382,30,workstep c5c6cc111918aa1c,05c4cecc071a5523,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c9586da23a33,line b9cad5d0a226a614,plant 1f9141b53fb092b5,55d491944ddc8792,616.0,100,0.0,f2810843596ddadb,5c1d46132cc79287,8674d86210cc8f0d,58c622b125144634,V,N,1.95,100,original
34769d25d9fdfa2f,e2ca143d4678a547,0,2,1,2025-04-23 00:00:00.499000+00:00,2025-04-23 00:00:00.532000+00:00,2025-04-23 00:00:00.532000+00:00,dd8fb3e56c3401d1,f8b7cb98aa487468,,450f2075fb963bba,04e5bdddafb0fed4,97c8c8e252dfc7b1,c81e728d9d4c2f63,800618943025315f,c0dfa27919c94bbb,station 4830c0b5f2acd625,,,efd1ce098fb81a2b,workorder 8452f139e1899545,97c235319e7c6281,c0638023ed0443c5,25a66b2ca9b40c40,8852ee9e056a243c,part 6a6b17faa27f92bc,faa606122c6f82e4,False,c1647ebf555dfb14,c4ca4238a0b92382,30,workstep ea6d918a297df7df,de6b94d4e6d541a4,SMD_Paste_Printing,b1d852cd92e0f370,line 03a3575087039a37,plant 1f9141b53fb092b5,1121477b7007ed59,54.0,160,0.0,9f9b2c9ec254cb6e,97c235319e7c6281,abb690107a289630,3a05a66bbb6c9b0b,x,T,,,train
9cfffff27414a6d2,410b1db1672a1627,0,2,1,2025-04-23 00:00:00.499000+00:00,2025-04-23 00:00:00.516000+00:00,2025-04-23 00:00:00.516000+00:00,1b2384483fe9f8a2,f8b7cb98aa487468,,450f2075fb963bba,04e5bdddafb0fed4,97c8c8e252dfc7b1,c4ca4238a0b92382,800618943025315f,c0dfa27919c94bbb,station 4830c0b5f2acd625,,,efd1ce098fb81a2b,workorder 8452f139e1899545,97c235319e7c6281,c0638023ed0443c5,25a66b2ca9b40c40,8852ee9e056a243c,part 6a6b17faa27f92bc,faa606122c6f82e4,False,c1647ebf555dfb14,c4ca4238a0b92382,30,workstep ea6d918a297df7df,de6b94d4e6d541a4,SMD_Paste_Printing,b1d852cd92e0f370,line 03a3575087039a37,plant 1f9141b53fb092b5,1121477b7007ed59,61.0,55a473aba8e148ae,0.0,d501ef8d46f5c7a1,97c235319e7c6281,c7205f0d99a04905,b278ea1274a5122d,,T,,,train
9cfffff27414a6d2,410b1db1672a1627,0,2,1,2025-04-23 00:00:00.499000+00:00,2025-04-23 00:00:00.516000+00:00,2025-04-23 00:00:00.516000+00:00,1b2384483fe9f8a2,f8b7cb98aa487468,,450f2075fb963bba,04e5bdddafb0fed4,97c8c8e252dfc7b1,c4ca4238a0b92382,800618943025315f,c0dfa27919c94bbb,station 4830c0b5f2acd625,,,efd1ce098fb81a2b,workorder 8452f139e1899545,97c235319e7c6281,c0638023ed0443c5,25a66b2ca9b40c40,8852ee9e056a243c,part 6a6b17faa27f92bc,faa606122c6f82e4,False,c1647ebf555dfb14,c4ca4238a0b92382,30,workstep ea6d918a297df7df,de6b94d4e6d541a4,SMD_Paste_Printing,b1d852cd92e0f370,line 03a3575087039a37,plant 1f9141b53fb092b5,1121477b7007ed59,62.0,59fd5bcbce59e287,0.0,450e52863b1a9bb5,97c235319e7c6281,02d3bd28ef2fdd5d,2c3b6c7e3b3b510b,,T,,,train
9cfffff27414a6d2,410b1db1672a1627,0,2,1,2025-04-23 00:00:00.499000+00:00,2025-04-23 00:00:00.516000+00:00,2025-04-23 00:00:00.516000+00:00,1b2384483fe9f8a2,f8b7cb98aa487468,,450f2075fb963bba,04e5bdddafb0fed4,97c8c8e252dfc7b1,c4ca4238a0b92382,800618943025315f,c0dfa27919c94bbb,station 4830c0b5f2acd625,,,efd1ce098fb81a2b,workorder 8452f139e1899545,97c235319e7c6281,c0638023ed0443c5,25a66b2ca9b40c40,8852ee9e056a243c,part 6a6b17faa27f92bc,faa606122c6f82e4,False,c1647ebf555dfb14,c4ca4238a0b92382,30,workstep ea6d918a297df7df,de6b94d4e6d541a4,SMD_Paste_Printing,b1d852cd92e0f370,line 03a3575087039a37,plant 1f9141b53fb092b5,1121477b7007ed59,7.0,5,0.0,5613c2007edca1c2,97c235319e7c6281,a8dd7fb096fd1857,9f78715d584e014f,x,T,,,train
