model_id,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo,algorithm
GBM_grid_1_AutoML_1_20250811_52024_model_1,1.2797365897500234e-18,0.0,2.4344716410485484e-16,5.926652171069612e-32,71244,0.014018,GBM,GBM
GBM_5_AutoML_1_20250811_52024,1.329036509382684e-17,0.0,3.769354007534168e-15,1.4208029634113892e-29,109990,0.026172,GBM,GBM
GBM_3_AutoML_1_20250811_52024,9.569311944164148e-16,0.0,2.701580758549849e-13,7.298538594966779e-26,200000,0.03043,GBM,GBM
GBM_2_AutoML_1_20250811_52024,5.182548840215075e-15,0.0,2.0718753502573432e-12,4.292667467003989e-24,187102,0.027729,GBM,GBM
GBM_4_AutoML_1_20250811_52024,7.580018517302384e-14,0.0,2.427062432924264e-11,5.890632053312248e-22,105085,0.030219,GBM,GBM
GBM_1_AutoML_1_20250811_52024,1.2250541071547554e-11,0.0,4.325561048259165e-09,1.871047838221693e-17,325616,0.041301,GBM,GBM
DeepLearning_1_AutoML_1_20250811_52024,6.888903068848905e-09,0.0,1.2703788056506414e-06,1.6138623098463501e-12,53515,0.017296,DeepLearning,DeepLearning
DeepLearning_grid_1_AutoML_1_20250811_52024_model_1,1.4435502290574058e-05,0.0476190476190476,0.002216514702443,4.912937426146413e-06,376292,0.025199,DeepLearning,DeepLearning
DRF_1_AutoML_1_20250811_52024,0.00010851750480039562,0.3571428571428571,0.0057123379789917,3.263080518623136e-05,16803,0.001414,DRF,DRF
XRT_1_AutoML_1_20250811_52024,0.0005327117820703622,0.6666666666666666,0.0083033765929722,6.894606284471884e-05,10004,0.001826,DRF,XRT
