log_id,log_subject,log_text,log_type,log_started_at,log_ended_at,log_acknowledged_at,log_acknowledgement_text,log_priority,log_remark,log_action_plan,log_created_at,log_updated_at,station_id,station_number,station_desc,notification_id,notification_code,notification_name,notification_desc,notification_type,notification_class_name,notification_class_desc,notification_group_name,notification_group_desc,info_text_1,info_text_2,info_text_3,info_text_4,info_text_5,info_text_6,info_text_7,info_text_8,info_text_9,info_text_10,info_text_11,info_text_12,info_text_13,info_text_14,info_text_15
3ff43dd3,594fb04b,,0d61f837,2023-10-10 06:13:37.575000+00:00,2023-10-10 06:20:14.200000+00:00,,,,,,2023-10-10 06:13:37.576000+00:00,2023-10-10 06:20:14.202000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,009f37b7
aaf5e8e6,594fb04b,,0d61f837,2023-11-02 17:35:01.420000+00:00,2023-11-02 17:36:51.339000+00:00,,,,,,2023-11-02 17:35:01.423000+00:00,2023-11-02 17:36:51.341000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,e10b214d
3e89a54b,594fb04b,,0d61f837,2023-11-09 07:34:13.826000+00:00,2023-11-09 07:34:43.540000+00:00,,,,,,2023-11-09 07:34:13.828000+00:00,2023-11-09 07:34:43.542000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,
6c293a2d,594fb04b,,0d61f837,2023-11-18 22:35:36.174000+00:00,2023-11-18 22:35:52.154000+00:00,,,,,,2023-11-18 22:35:36.176000+00:00,2023-11-18 22:35:52.156000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,
643a517b,594fb04b,,0d61f837,2023-11-24 12:30:45.025000+00:00,2023-11-24 12:32:28.908000+00:00,,,,,,2023-11-24 12:30:45.026000+00:00,2023-11-24 12:32:28.909000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,967bcd33
34835fb7,594fb04b,,0d61f837,2024-01-17 09:58:12.139000+00:00,2024-01-17 10:00:48.897000+00:00,,,,,,2024-01-17 09:58:12.141000+00:00,2024-01-17 10:00:48.899000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,bf057263
f4112654,594fb04b,,0d61f837,2024-03-06 09:08:24.643000+00:00,2024-03-06 09:09:04.752000+00:00,,,,,,2024-03-06 09:08:24.644000+00:00,2024-03-06 09:09:05.958000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,3e30c82b
42a83dad,594fb04b,,0d61f837,2024-05-07 17:24:48.621000+00:00,2024-05-07 17:25:40.671000+00:00,,,,,,2024-05-07 17:24:48.622000+00:00,2024-05-07 17:25:40.673000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,c478357c
0e8f3f65,594fb04b,,0d61f837,2024-05-13 20:34:33.466000+00:00,2024-05-13 20:35:15.472000+00:00,,,,,,2024-05-13 20:34:33.467000+00:00,2024-05-13 20:35:15.474000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,f263ae0b
801c3c08,594fb04b,,0d61f837,2024-07-04 08:09:46.833000+00:00,2024-07-04 08:10:03.776000+00:00,,,,,,2024-07-04 08:09:46.834000+00:00,2024-07-04 08:10:03.778000+00:00,ce68d3cc,a899bbec,station 644b28fe,765ef45e,0f2cecd6,Keine Antwort vom Tester,Keine Antwort vom Tester,b9ece18c,3e70e4e6,notification_class 439076f1,af032fbc,notification_group 03ae7a1c,,,,,,,,,,,,,,,27c3375d
