,dtype,category,storage_type,cardinality,total_count,null_count,null_percentage,example_value,encoding_recommendation,is_constant
serial_number,category,categorical_identifiers_descriptions,category,6877,5108820,0,0.0,5e9cafafcdf811a0,HashingEncoder (high cardinality),False
booking_id,category,categorical_identifiers_descriptions,category,72314,5108820,0,0.0,6405163ce94214a5,HashingEncoder (high cardinality),False
book_state,int8,quality_indicators_boolean,integer,3,5108820,0,0.0,0,BinaryEncoder or keep as-is,False
workstep_number_mes,int32,categorical_identifiers_descriptions,integer,7,5108820,0,0.0,2,TargetEncoder or HashingEncoder,False
sequence_number,int8,quality_indicators_boolean,integer,4,5108820,0,0.0,1,BinaryEncoder or keep as-is,False
created_at,"datetime64[ns, UTC]",datetime,datetime,44595,5108820,0,0.0,2025-04-23 00:15:22.200000+00:00,HashingEncoder (high cardinality),False
updated_at,"datetime64[ns, UTC]",datetime,datetime,72300,5108820,0,0.0,2025-04-23 00:15:22.248000+00:00,HashingEncoder (high cardinality),False
book_stamp,"datetime64[ns, UTC]",datetime,datetime,72300,5108820,0,0.0,2025-04-23 00:15:22.248000+00:00,HashingEncoder (high cardinality),False
serial_number_id,string,categorical_identifiers_descriptions,string,16066,5108820,0,0.0,ac275801b9e8b716,HashingEncoder (high cardinality),False
lot_id,category,categorical_identifiers_descriptions,category,1,5108820,0,0.0,f8b7cb98aa487468,DROP (constant),True
lot_number,category,categorical_identifiers_descriptions,category,0,5108820,5108820,100.0,All null,DROP (constant),True
station_id,category,categorical_identifiers_descriptions,category,11,5108820,0,0.0,38b291acfbf0c17e,TargetEncoder or HashingEncoder,False
station_diag_id,category,categorical_identifiers_descriptions,category,4,5108820,0,0.0,04e5bdddafb0fed4,TargetEncoder or HashingEncoder,False
workorder_id,category,categorical_identifiers_descriptions,category,19,5108820,0,0.0,b20effca14a46551,TargetEncoder or HashingEncoder,False
panel_position_number,category,categorical_identifiers_descriptions,category,2,5108820,0,0.0,c81e728d9d4c2f63,TargetEncoder or HashingEncoder,False
