serial_number,booking_id,book_state,workstep_number_mes,sequence_number,created_at,updated_at,book_stamp,serial_number_id,lot_id,station_id,station_diag_id,workorder_id,panel_position_number,workorder_type,station_number,station_desc,workorder_number,workorder_desc,object_id,product_variant_id,workplan_id,part_number,part_desc,part_group,has_failures,erp_group_id,workstep_number_erp,workstep_desc,workstep_id,erp_group_desc,line_id,line_desc
d664ced0,902a4192,0,8,c4ca4238,2024-06-03 00:16:10.810000+00:00,2024-06-03 00:16:10.842000+00:00,2024-06-03 00:16:10.842000+00:00,8c7d7487,f8b7cb98,e2a13096,04e5bddd,1f1d4662,c51ce410,80061894,33078fa4,station b17ad0f9,91d2509f,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,859f1741,70,workstep 044f7117,618e0a76,SMD_AOI,3500a1b9,line 78dfc242
aaed965d,df0f6905,0,2,c4ca4238,2024-06-06 08:58:53.778000+00:00,2024-06-06 08:58:53.802000+00:00,2024-06-06 08:58:53.802000+00:00,d74a39b7,f8b7cb98,94d61c4c,04e5bddd,ea4f0fe6,98f13708,80061894,cef9ff42,station a24958aa,ef5ad0af,workorder afe7f899,e864fbc1,db18e047,97ae982d,8441a0fd,part 2ed9c211,0b436ce3,False,c6327673,40,workstep 418d1eed,8d882f17,CCA AMS16 ICT,5aac1e10,line c635fd6d
a5cb0206,b12207f4,0,2,c4ca4238,2024-06-10 09:25:22.693000+00:00,2024-06-10 09:25:22.715000+00:00,2024-06-10 09:25:22.715000+00:00,5dc9ccb1,f8b7cb98,94d61c4c,04e5bddd,eb933245,c9f0f895,80061894,cef9ff42,station a24958aa,4c71d69c,workorder a06078c9,e864fbc1,db18e047,2503e2db,8441a0fd,part 2ed9c211,0b436ce3,False,c6327673,40,workstep 418d1eed,5e62686c,CCA AMS16 ICT,5aac1e10,line c635fd6d
017a862b,d29e3458,0,8,c4ca4238,2024-06-04 13:02:04.497000+00:00,2024-06-04 13:02:04.519000+00:00,2024-06-04 13:02:04.519000+00:00,dd216504,f8b7cb98,e2a13096,04e5bddd,0a41f360,8f14e45f,80061894,33078fa4,station b17ad0f9,9a040ff1,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,859f1741,70,workstep 044f7117,618e0a76,SMD_AOI,3500a1b9,line 78dfc242
8f24a45a,c30e54ee,0,1,c4ca4238,2024-06-04 13:02:13.951000+00:00,2024-06-04 13:02:14.342000+00:00,2024-06-04 13:02:14.342000+00:00,2d30d3d3,f8b7cb98,58cc4d74,04e5bddd,0a41f360,d3d94468,80061894,fcdab94e,station 71a190d1,9a040ff1,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,9558d283,20,workstep d47bda86,07b17474,SMD_Laser_Marking,3500a1b9,line 78dfc242
6d91966c,79222c93,0,4,c4ca4238,2024-06-12 12:28:45.244000+00:00,2024-06-12 12:28:46.476000+00:00,2024-06-12 12:28:46.476000+00:00,60e9bc63,f8b7cb98,134d3842,04e5bddd,683e11ff,70efdf2e,80061894,4fcfc063,station 249bbfcc,b485c098,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,b6c85b35,50,workstep 78c1644b,e73c6cb1,SMD_Pick_and_Place,3500a1b9,line 78dfc242
4601cbc3,0c065773,0,2,c4ca4238,2024-06-12 18:54:07.702000+00:00,2024-06-12 18:54:07.950000+00:00,2024-06-12 18:54:07.950000+00:00,ccfc2a21,f8b7cb98,c93d63dd,04e5bddd,683e11ff,c74d97b0,80061894,c4ace37f,station 4e8d0cbb,b485c098,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,f0c1d990,30,workstep ea6d918a,cea50346,SMD_Paste_Printing,3500a1b9,line 78dfc242
d79c5dc5,f46ee57b,0,5,c4ca4238,2024-06-12 19:45:57.065000+00:00,2024-06-12 19:46:04.040000+00:00,2024-06-12 19:46:04.040000+00:00,b98babcf,f8b7cb98,1f411443,04e5bddd,683e11ff,c51ce410,80061894,aa9968ee,station 17216505,b485c098,workorder 0e26c13d,7d09be2d,797ec095,99db0934,88f98c60,part b1fb1ff8,c052b29b,False,3fa2c048,51,workstep 13595332,d73eecb5,SMD_Pick_and_Place,3500a1b9,line 78dfc242
f618a606,d49955e4,0,2,c4ca4238,2024-06-27 17:53:04.022000+00:00,2024-06-27 17:53:04.024000+00:00,2024-06-27 17:53:04.024000+00:00,85d64f90,f8b7cb98,1405e64b,04e5bddd,4c6b8f3f,c4ca4238,80061894,a1c56bf4,station de579af6,120a2137,workorder 880411f1,5c1d4613,9acf7cc6,99076f81,5a6867de,part 880411f1,8db45195,False,36a6dcf2,30,workstep c5c6cc11,05c4cecc,DCDC AMS3.1 Trennlinie ICT-Tester 1,ad63c958,line b9cad5d0
77665e77,dc60287e,0,8,c4ca4238,2024-06-28 23:29:04.681000+00:00,2024-06-28 23:29:04.696000+00:00,2024-06-28 23:29:04.696000+00:00,fb301c54,f8b7cb98,e2a13096,04e5bddd,442c270c,c81e728d,80061894,33078fa4,station b17ad0f9,e4f94865,workorder cfbfdbdb,bd9da438,5b42f319,73002b6e,9d9d8f8a,part 50e1f77e,7a78616d,False,859f1741,70,workstep 044f7117,ffa7ae83,SMD_AOI,3500a1b9,line 78dfc242
77665e77,b424a39b,0,7,c4ca4238,2024-06-29 04:27:28.057000+00:00,2024-06-29 04:27:28.085000+00:00,2024-06-29 04:27:28.085000+00:00,a92c7aa4,f8b7cb98,915d3209,04e5bddd,dbbd2a3c,c81e728d,80061894,7b9b6edd,station ed86d2b7,4c027092,workorder 8452f139,97c23531,c0638023,77742def,8852ee9e,part 6a6b17fa,faa60612,False,ba432a02,60,workstep 9f0dc271,e646bf8e,SMD_Oven,3500a1b9,line 78dfc242
0de18856,87c66155,0,4,c4ca4238,2024-07-02 05:24:05.597000+00:00,2024-07-02 05:24:04.383000+00:00,2024-07-02 05:24:04.383000+00:00,19e4a4aa,f8b7cb98,134d3842,04e5bddd,e9b8a8fd,c4ca4238,80061894,4fcfc063,station 249bbfcc,a21cf478,workorder 8452f139,97c23531,c0638023,77742def,8852ee9e,part 6a6b17fa,faa60612,False,b6c85b35,50,workstep 78c1644b,bb2c1fb8,SMD_Pick_and_Place,3500a1b9,line 78dfc242
f8551deb,681ba824,0,7,c4ca4238,2024-07-03 13:50:41.333000+00:00,2024-07-03 13:50:41.344000+00:00,2024-07-03 13:50:41.344000+00:00,111bab84,f8b7cb98,915d3209,04e5bddd,6adf43cf,c4ca4238,80061894,7b9b6edd,station ed86d2b7,1bfe7a0f,workorder cfbfdbdb,bd9da438,5b42f319,73002b6e,9d9d8f8a,part 50e1f77e,7a78616d,False,ba432a02,60,workstep 9f0dc271,a5d3c838,SMD_Oven,3500a1b9,line 78dfc242
e3a17114,343ecf6b,0,4,c4ca4238,2024-08-02 21:59:15.288000+00:00,2024-08-02 21:59:44.852000+00:00,2024-08-02 21:59:44.852000+00:00,f5f971fd,f8b7cb98,134d3842,04e5bddd,eaa4e4f8,c81e728d,80061894,4fcfc063,station 249bbfcc,87636c23,workorder cfbfdbdb,bd9da438,5b42f319,73002b6e,9d9d8f8a,part 50e1f77e,7a78616d,False,b6c85b35,50,workstep 78c1644b,ee5e1746,SMD_Pick_and_Place,3500a1b9,line 78dfc242
